Num_Cars_Available,Distance_to_Travel,Traffic_Value,Predicted_Price
52,30.69,3,97.98
93,46.39,4,148.44
15,32.9,8,149.01
72,45.83,6,165.7
61,42.65,8,170.87
21,23.02,1,65.67
83,5.68,8,78.34
87,19.17,4,78.18
75,33.77,1,97.02
75,33.63,8,150.43
88,29.97,4,109.44
24,14.46,6,88.75
3,28.5,8,146.16
22,19.76,4,87.42
53,48.61,3,146.35
2,42.6,9,185.66
88,36.36,3,114.43
30,12.56,9,106.31
38,13.55,2,47.25
2,2.98,2,35.74
64,35.82,2,103.38
60,6.43,6,66.99
21,22.53,3,83.86
33,10.88,9,102.56
76,44.89,4,144.68
58,24.29,1,70.92
22,28.6,4,106.31
89,35.08,1,95.8
49,7.83,5,59.81
91,30.62,4,112.79
59,27.45,8,135.1
42,10.95,8,94.1
92,47.2,7,173.43
60,30.34,3,101.09
80,35.04,1,94.96
15,44.14,1,122.17
62,31.59,3,102.22
62,15.49,6,91.57
47,6.17,7,72.02
62,23.37,6,106.34
51,11.7,6,76.57
55,21.41,6,101.83
64,44.28,3,135.33
3,16.89,6,99.36
51,6.98,8,82.13
7,18.46,2,66.01
21,45.43,5,154.42
73,14.33,1,46.63
39,32.74,1,92.05
18,1.03,5,48.16
4,18.28,3,79.83
89,15.93,4,73.34
60,9.07,3,45.93
14,27.17,1,81.3
9,24.76,1,79.01
90,34.93,5,127.63
53,14.2,6,86.09
2,12.96,3,66.37
84,9.25,9,99.15
92,11.72,5,69.12
60,28.35,8,138.9
71,20.79,1,60.71
44,4.18,5,51.28
8,13.44,3,64.49
47,13.1,1,43.54
35,35.12,4,126.29
78,35.9,5,131.75
81,8.26,7,78.36
36,49.89,1,138.53
50,14.07,3,62.38
4,48.85,2,145.41
2,21.14,9,137.56
6,2.62,10,92.57
54,17.91,6,93.35
4,32.08,10,167.07
54,34.35,3,109.88
93,27.02,8,133.38
63,22.94,8,122.48
18,28.09,2,83.55
90,30.04,6,123.76
44,4.96,7,69.59
34,19.11,2,68.29
74,12.87,10,112.48
62,40.35,2,123.62
14,24.04,10,147.89
95,49.19,1,131.34
48,20.54,8,119.72
15,41.01,1,116.38
72,40.12,9,174.23
78,8.39,6,71.94
87,25.9,7,122.1
62,35.09,10,169.87
40,43.06,7,167.7
85,16.97,10,127.79
80,11.79,3,55.31
82,35.85,2,106.02
53,40.67,9,171.52
24,18.08,8,116.65
26,5.71,10,97.08
89,47.09,7,176.01
60,20.48,9,128.73
41,26.37,4,100.73
29,42.05,4,139.81
15,34.11,1,100.91
45,37.03,8,159.68
65,11.24,3,54.87
89,27.53,7,122.99
71,35.09,2,107.62
9,12.2,2,53.57
88,9.57,7,78.41
1,49.13,6,182.7
8,26.32,3,92.34
88,13.78,9,112.36
63,49.82,10,203.99
11,48.31,6,177.71
81,28.36,10,150.59
8,44.25,10,198.41
35,10.25,6,74.47
35,14.66,1,49.31
33,35.32,4,122.62
